Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL
3899,"AL Barabási, R Albert","Emergence of Scaling in Random Networks",1999,"Science","sciencemag.org","http://www.sciencemag.org/cgi/content/abstract/286/5439/509","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=656670982446636554"
3146,"R Albert, AL Barabási","Statistical mechanics of complex networks",2002,"Reviews of Modern Physics","APS","http://link.aps.org/doi/10.1103/RevModPhys.74.47","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=15852322625393565831"
1943,"AL Barabási, HE Stanley","Fractal Concepts in Surface Growth",1995,"","books.google.com","http://books.google.com/books?hl=en&amp;lr=&amp;id=W4SqcNr8PLYC&amp;oi=fnd&amp;pg=PR15&amp;dq=Albert-Lszl+Barabsi&amp;ots=eEOKsND5oz&amp;sig=jI8QmTv4UWaQfU_XUMVakVA1www","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=4786996350977270535"
1341,"AL Barabási, RE Crandall","Linked: The New Science of Networks",2003,"American Journal of Physics","link.aip.org","http://link.aip.org/link/?AJPIAS/71/409/2","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=14552054365954425526"
514,"R Albert, AL Barabási","Topology of Evolving Networks: Local Events and Universality",2000,"Physical Review Letters","APS","http://link.aps.org/doi/10.1103/PhysRevLett.85.5234","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=11648229917216339347"
444,"E Ravasz, AL Barabási","Hierarchical organization in complex networks",2003,"Physical Review E","APS","http://link.aps.org/doi/10.1103/PhysRevE.67.026112","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=18305065683732112550"
439,"AL Barabási, R Albert","Emerging of scaling in random networks - IU-Link",1999,"Science","","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=6876758117447958952"
381,"AL Barabási, R Albert, H Jeong","Scale-free characteristics of random networks: the topology of the world-wide web",2000,"Physica A: Statistical Mechanics and its Applications","Elsevier","http://linkinghub.elsevier.com/retrieve/pii/S0378437100000182","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=6631700417435632812"
198,"AL Barabási","Linked: How Everything Is Connected to Everything Else and What It Means for Business, Science, and …",2003,"","books.google.com","http://books.google.com/books?hl=en&amp;lr=&amp;id=QTHsGNY4wcwC&amp;oi=fnd&amp;pg=PA1&amp;dq=Albert-Lszl+Barabsi&amp;ots=9QoPI6Bomm&amp;sig=nij3A7r6W-tVegKU3Teuo4BONEs","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=11938201039952997417"
163,"I Daruka, AL Barabási","Dislocation-Free Island Formation in Heteroepitaxial Growth: A Study at Equilibrium",1997,"Physical Review Letters","APS","http://link.aps.org/doi/10.1103/PhysRevLett.79.3708","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=8786929462484134444"
160,"R Cuerno, AL Barabási","Dynamic Scaling of Ion-Sputtered Surfaces",1995,"Physical Review Letters","APS","http://link.aps.org/doi/10.1103/PhysRevLett.74.4746","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=13772128764952304284"
136,"IJ Farkas, I Derényi, AL Barabási, T Vicsek","Spectra of “real-world” graphs: Beyond the semicircle law",2001,"Physical Review E","APS","http://link.aps.org/doi/10.1103/PhysRevE.64.026704","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=522577067782006313"
135,"G Bianconi, AL Barabási","Bose-Einstein Condensation in Complex Networks",2001,"Physical Review Letters","APS","http://link.aps.org/doi/10.1103/PhysRevLett.86.5632","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=8969420492977348780"
132,"Z Dezső, AL Barabási","Halting viruses in scale-free networks",2002,"Physical Review E","APS","http://link.aps.org/doi/10.1103/PhysRevE.65.055103","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=13987758847610284637"
106,"AL Barabási, E Ravasz, T Vicsek","Deterministic scale-free networks",2001,"Physica A: Statistical Mechanics and its Applications","Elsevier","http://linkinghub.elsevier.com/retrieve/pii/S0378437101003697","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=2411474478270403083"
105,"R Albert, H Jeong, AL Barabási","Internet: Diameter of the World-Wide Web",1999,"Nature","adsabs.harvard.edu","http://adsabs.harvard.edu/abs/1999Natur.401..130A","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=8962730404063103115"
98,"AL Barabási","Self-assembled island formation in heteroepitaxial growth",1997,"Applied Physics Letters","link.aip.org","http://link.aip.org/link/?APPLAB/70/2565/1","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=15643461181251795364"
95,"… Li, A Smolyar, DE Hill, AL Barabási, M Vidal, HY …","A Protein–Protein Interaction Network for Human Inherited Ataxias and Disorders of Purkinje Cell …",2006,"Cell","Elsevier","http://linkinghub.elsevier.com/retrieve/pii/S0092867406004399","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=2396722809087603608"
89,"AL Barabási","The origin of bursts and heavy tails in human dynamics",2005,"Arxiv preprint cond-mat/0505371","arxiv.org","http://arxiv.org/abs/cond-mat/0505371","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=4532329027137788367"
79,"P Jensen, AL Barabási, H Larralde, S Havlin, HE …","Deposition, diffusion, and aggregation of atoms on surfaces: A model for nanostructure growth",1994,"Physical Review B","APS","http://link.aps.org/doi/10.1103/PhysRevB.50.15316","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=1447594257140064336"
79,"MA Makeev, AL Barabási","Ion-induced effective surface diffusion in ion sputtering",1997,"Applied Physics Letters","link.aip.org","http://link.aip.org/link/?APPLAB/71/2800/1","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=15946208681138028132"
78,"AL Barabási, T Vicsek","Multifractality of self-affine fractals",1991,"Physical Review A","APS","http://link.aps.org/doi/10.1103/PhysRevA.44.2730","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=10387021375849320964"
59,"AL Barabási, Z Dezso, E Ravasz, SH Yook, Z Oltvai","Scale-Free and Hierarchical Structures in Complex Networks",2003,"AIP Conference Proceedings","link.aip.org","http://link.aip.org/link/?APCPCS/661/1/1","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=7258564144953181094"
56,"R Albert, AL Barabási","Dynamics of Complex Systems: Scaling Laws for the Period of Boolean Networks",2000,"Physical Review Letters","APS","http://link.aps.org/doi/10.1103/PhysRevLett.84.5660","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=15932740196314344504"
47,"MA Makeev, R Cuerno, AL Barabási","Morphology of ion-sputtered surfaces",2002,"Nuclear Inst. and Methods in Physics Research, B","Elsevier","http://linkinghub.elsevier.com/retrieve/pii/S0168583X02014362","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=610328893610917287"
41,"LAN Amaral, AL Barabási, HA Makse, HE Stanley","Scaling properties of driven interfaces in disordered media",1995,"Physical Review E","APS","http://link.aps.org/doi/10.1103/PhysRevE.52.4087","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=5882123892405980561"
40,"AL Barabási, ZN Oltvai, P Box, NPG Contact","From the following article",2004,"Nature Reviews Genetics","nature.com","http://www.nature.com/nrg/journal/v5/n2/box/nrg1272_BX1.html","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=16342143756633778698"
40,"I Daruka, AL Barabási","Equilibrium phase diagrams for dislocation free self-assembled quantum dots",1998,"Applied Physics Letters","link.aip.org","http://link.aip.org/link/?APPLAB/72/2102/1","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=12625064069874409431"
36,"… Oliveira, Z Dezsö, KI Goh, I Kondor, AL Barabási","Modeling bursts and heavy tails in human dynamics",2006,"Physical Review E","APS","http://link.aps.org/doi/10.1103/PhysRevE.73.036127","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=1306290975721440915"
32,"… , I Albert, D Hornbaker, P Schiffer, AL Barabási","Maximum angle of stability in wet and dry spherical granular media",1997,"Physical Review E","APS","http://link.aps.org/doi/10.1103/PhysRevE.56.R6271","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=8891616344525608485"
27,"C Lee, AL Barabási","Spatial ordering of islands grown on patterned surfaces",1998,"Applied Physics Letters","link.aip.org","http://link.aip.org/link/?APPLAB/73/2651/1","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=12530583267027377787"
24,"A Czirók, AL Barabási, T Vicsek","Collective Motion of Self-Propelled Particles: Kinetic Phase Transition in One Dimension",1999,"Physical Review Letters","APS","http://link.aps.org/doi/10.1103/PhysRevLett.82.209","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=2688604936631504018"
